,CLASS_ID,CLASS_OOD,Model,AUROC,FPR95
0,0,1,IsolationForest,0.6544581965142712,0.7027027027027027
1,0,1,OneClassSVM,0.8590553169992422,0.40540540540540543
2,0,1,LOF,0.41761387555780083,0.7837837837837838
3,0,2,IsolationForest,0.6091920797803151,0.7297297297297297
4,0,2,OneClassSVM,0.782772076889724,0.7027027027027027
5,0,2,LOF,0.3951438069085128,0.8918918918918919
6,0,3,IsolationForest,0.6376740376740376,0.7297297297297297
7,0,3,OneClassSVM,0.8093366093366092,0.5405405405405406
8,0,3,LOF,0.40778050778050773,0.7567567567567568
9,0,4,IsolationForest,0.7416988416988417,0.4864864864864865
10,0,4,OneClassSVM,0.8626769626769628,0.40540540540540543
11,0,4,LOF,0.4512226512226512,0.7297297297297297
12,0,5,IsolationForest,0.7012231209311501,0.4864864864864865
13,0,5,OneClassSVM,0.8064213848885382,0.40540540540540543
14,0,5,LOF,0.969520615506017,0.02702702702702703
15,0,6,IsolationForest,0.5626271432723046,0.7837837837837838
16,0,6,OneClassSVM,0.7273321708805579,0.7567567567567568
17,0,6,LOF,0.962801511188608,0.02702702702702703
18,0,7,IsolationForest,0.600856954515491,0.8108108108108109
19,0,7,OneClassSVM,0.7069874752801582,0.6486486486486487
20,0,7,LOF,0.4212261041529334,0.7567567567567568
21,0,8,IsolationForest,0.5505711897464475,0.8378378378378378
22,0,8,OneClassSVM,0.6702424073558094,0.7567567567567568
23,0,8,LOF,0.44455280022290333,0.7567567567567568
24,0,9,IsolationForest,0.6169953737521305,0.7027027027027027
25,0,9,OneClassSVM,0.7171292914536158,0.6216216216216216
26,0,9,LOF,0.7009982955928902,0.5135135135135135
27,1,0,IsolationForest,0.611025641025641,0.9384615384615385
28,1,0,OneClassSVM,0.7432478632478634,0.8615384615384616
29,1,0,LOF,0.422051282051282,0.8769230769230769
30,1,2,IsolationForest,0.6194158782394077,0.9384615384615385
31,1,2,OneClassSVM,0.584039489921843,0.9384615384615385
32,1,2,LOF,0.5538461538461539,0.8615384615384616
33,1,3,IsolationForest,0.5730536130536131,0.9384615384615385
34,1,3,OneClassSVM,0.4345454545454545,0.9538461538461539
35,1,3,LOF,0.735990675990676,0.7230769230769231
36,1,4,IsolationForest,0.6038095238095238,0.9230769230769231
37,1,4,OneClassSVM,0.6145421245421245,0.9384615384615385
38,1,4,LOF,0.8671062271062271,0.36923076923076925
39,1,5,IsolationForest,0.41476698483997754,0.9384615384615385
40,1,5,OneClassSVM,0.415749578888265,0.9538461538461539
41,1,5,LOF,0.9646266142616507,0.03076923076923077
42,1,6,IsolationForest,0.3562448304383788,0.9538461538461539
43,1,6,OneClassSVM,0.5104631927212572,0.9384615384615385
44,1,6,LOF,0.9587262200165427,0.03076923076923077
